AÑO,MUNICIPIO,DEPARTAMENTO,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2016,Guamal,Magdalena,Magdalena (ETC),6941,97.7,97.62,52.88,89.22,73.33,38.7,116.15,132.5,128.74,115.82,75.32,2.59,2.11,2.08,3.29,3.23,94.99,95.44,93.13,95.69,2.42,0.12,2.48,3.58,1.08,8.69,18.43,8.74,7.48,2.15
2016,Nueva Granada,Magdalena,Magdalena (ETC),5089,101.9,101.69,65.83,89.47,55.39,29.83,120.44,211.7,140.17,98.15,64.6,2.44,2.59,2.13,2.8,3.05,97.29,97.87,96.19,96.7,0.27,0.0,0.0,1.01,0.25,9.37,28.07,8.11,3.02,0.51
2016,Pedraza,Magdalena,Magdalena (ETC),1952,106.9,106.92,87.43,105.95,78.76,35.44,116.14,156.29,132.65,111.01,62.34,3.66,3.45,2.93,4.47,5.08,92.77,95.52,87.01,93.4,3.57,0.0,1.56,8.52,1.52,9.7,27.97,7.69,8.24,2.03
2016,Pijiño del Carmen,Magdalena,Magdalena (ETC),5028,71.3,71.28,46.0,67.23,48.67,19.03,84.37,114.44,95.33,82.81,42.55,4.12,4.92,3.84,4.65,2.35,95.22,95.37,94.55,97.25,0.66,0.0,0.79,0.8,0.39,8.61,19.67,7.47,7.69,0.0
2016,Pivijay,Magdalena,Magdalena (ETC),7796,110.2,110.16,75.04,105.81,75.76,41.3,131.58,164.3,157.89,117.7,75.87,2.29,1.62,1.74,3.53,1.73,94.94,96.04,92.09,96.16,2.77,1.08,2.22,4.38,2.11,4.69,6.05,5.45,3.95,1.61
2016,Plato,Magdalena,Magdalena (ETC),15626,90.7,90.67,66.62,77.7,53.83,30.02,112.79,176.65,128.06,100.25,63.15,3.2,3.03,4.06,2.03,2.06,95.13,93.57,96.77,95.87,1.68,0.0,2.38,1.2,2.06,8.53,25.83,6.15,5.21,2.24
2016,Puebloviejo,Magdalena,Magdalena (ETC),9211,69.9,69.87,44.83,68.1,44.76,25.64,84.81,111.11,101.0,74.82,48.45,1.33,0.86,1.16,2.05,0.53,95.62,96.24,92.65,97.2,3.05,0.0,2.6,5.3,2.28,9.89,17.3,8.5,11.31,2.8
2016,Remolino,Magdalena,Magdalena (ETC),2112,78.6,78.65,51.35,72.5,53.01,37.86,87.03,110.27,94.89,78.94,67.96,1.42,0.0,2.06,0.98,1.2,98.12,97.02,99.02,98.8,0.46,0.0,0.92,0.0,0.0,13.56,29.9,16.04,6.25,3.01
2016,Sabanas de San Angel,Magdalena,Magdalena (ETC),4998,79.1,79.05,51.3,68.87,42.19,15.31,106.28,152.25,126.98,89.75,58.19,1.7,0.95,1.61,2.22,2.19,98.3,98.39,97.78,97.81,0.0,0.0,0.0,0.0,0.0,1.61,2.86,1.09,2.31,0.0
2016,Salamina,Magdalena,Magdalena (ETC),1522,120.0,119.97,62.31,107.77,101.82,66.29,139.22,114.62,140.73,149.8,128.09,3.78,1.34,3.94,3.44,5.38,96.22,96.06,96.56,94.62,0.0,0.0,0.0,0.0,0.0,4.74,3.36,4.39,7.04,1.08
2016,San Sebastián de Buenavista,Magdalena,Magdalena (ETC),4442,112.3,112.34,66.33,105.09,75.37,42.26,139.1,185.18,154.21,129.77,93.48,2.47,1.36,2.15,3.48,2.43,96.16,95.85,95.04,97.57,1.37,0.0,2.0,1.48,0.0,2.53,7.87,1.55,2.24,1.13
2016,San Zenón,Magdalena,Magdalena (ETC),2307,122.0,121.98,71.3,110.27,86.29,41.71,146.34,159.26,154.73,146.95,116.58,3.06,3.78,1.51,5.28,3.12,95.17,96.38,92.93,95.47,1.77,0.58,2.1,1.8,1.42,7.2,15.7,8.02,4.75,1.98
2016,Santa Ana,Magdalena,Magdalena (ETC),7533,77.3,77.33,51.46,72.12,53.96,31.16,87.04,126.5,95.34,80.22,56.74,1.93,2.02,2.21,1.57,1.69,97.36,96.8,97.9,97.46,0.71,0.0,1.0,0.52,0.85,5.88,15.73,6.51,2.67,0.85
2016,Santa Bárbara de Pinto,Magdalena,Magdalena (ETC),4147,64.4,64.43,43.47,57.74,40.41,21.16,77.38,106.53,86.47,69.92,50.0,5.31,6.93,5.16,5.87,1.41,94.13,94.03,93.87,97.65,0.56,0.0,0.81,0.26,0.94,11.6,33.07,10.31,6.26,2.35
2016,Sitionuevo,Magdalena,Magdalena (ETC),8384,67.6,67.45,41.74,69.03,40.88,18.51,76.6,93.16,97.56,63.64,40.0,4.47,4.37,4.34,4.86,3.95,93.41,94.2,90.95,95.06,2.12,0.0,1.46,4.19,0.99,14.33,27.0,14.17,12.93,4.69
2016,Tenerife,Magdalena,Magdalena (ETC),3254,103.2,103.23,54.58,90.54,75.07,39.6,135.56,141.55,133.41,143.07,122.0,6.16,4.48,6.41,7.26,3.03,93.51,93.0,92.57,96.97,0.33,0.0,0.58,0.17,0.0,4.94,14.68,5.36,2.33,0.0
2016,Zapayán,Magdalena,Magdalena (ETC),2173,98.5,98.48,73.8,101.84,59.67,28.2,108.42,140.11,139.0,86.37,55.23,3.01,1.91,2.18,4.19,6.32,94.48,93.53,95.17,93.68,2.5,0.0,4.29,0.64,0.0,8.53,15.27,8.73,7.09,2.63
2016,Zona Bananera,Magdalena,Magdalena (ETC),18285,100.2,99.89,61.23,90.5,66.25,32.67,124.34,165.42,137.58,114.65,87.08,2.92,2.7,3.33,2.75,1.97,94.82,94.73,93.93,95.42,2.26,0.0,1.95,3.31,2.61,8.63,22.75,9.34,5.03,1.08
2016,Villavicencio,Meta,Villavicencio,105006,94.2,94.07,59.47,92.83,80.29,48.16,106.19,90.0,110.13,109.42,98.01,4.33,6.69,3.58,5.29,2.9,91.52,93.89,87.71,92.73,4.16,0.1,2.53,7.0,4.37,0.81,0.23,0.74,1.19,0.23
2016,Acacías,Meta,Meta (ETC),14856,112.4,112.26,75.8,108.72,100.9,63.06,134.55,107.42,143.13,139.71,116.17,5.78,5.67,4.2,7.68,5.92,87.04,91.55,80.73,85.44,7.18,0.0,4.26,11.59,8.64,0.49,0.29,0.47,0.68,0.15
2016,Barranca de Upía,Meta,Meta (ETC),1031,135.0,135.01,65.59,123.41,120.61,62.5,151.99,122.58,157.95,175.76,105.95,3.42,2.63,4.17,3.5,0.0,92.14,90.07,91.83,99.29,4.44,0.0,5.76,4.67,0.71,0.07,0.0,0.0,0.19,0.0
2016,Cabuyaro,Meta,Meta (ETC),961,128.5,128.51,72.09,130.34,107.12,29.22,138.81,129.07,162.86,150.49,56.49,11.85,15.32,8.05,16.9,11.69,78.16,84.35,66.9,77.92,9.99,0.0,7.6,16.2,10.39,0.46,0.0,0.15,1.16,0.0
2016,Castilla la Nueva,Meta,Meta (ETC),2199,128.7,128.51,55.44,122.17,110.69,58.82,149.98,118.65,157.8,163.75,118.77,4.61,6.82,2.25,8.36,1.31,87.4,92.29,77.98,93.11,7.99,1.36,5.46,13.66,5.57,1.62,0.0,1.12,3.16,0.0
2016,Cubarral,Meta,Meta (ETC),1360,91.7,91.69,42.98,87.1,85.59,60.3,99.85,86.78,101.19,107.98,85.43,5.48,10.48,3.69,7.64,2.6,87.59,91.61,81.0,92.21,6.93,2.86,4.7,11.35,5.19,0.99,0.0,1.17,1.31,0.0
2016,El Calvario,Meta,Meta (ETC),533,89.7,89.68,27.66,72.49,91.95,43.37,94.0,36.17,92.58,127.59,60.24,10.18,0.0,6.13,16.22,4.0,85.83,91.98,77.48,92.0,3.99,0.0,1.89,6.31,4.0,0.0,0.0,0.0,0.0,0.0
2016,Fuente de Oro,Meta,Meta (ETC),3261,87.9,87.86,51.43,88.6,73.44,38.79,97.45,89.64,111.11,96.74,67.61,5.31,6.11,3.71,7.88,4.04,83.73,88.03,73.59,88.82,10.96,0.87,8.26,18.53,7.14,0.07,0.0,0.07,0.1,0.0
2016,Granada,Meta,Meta (ETC),14310,107.8,107.81,76.78,105.32,92.97,51.49,120.71,93.03,130.56,126.79,95.63,4.93,4.79,4.08,6.85,2.37,86.12,87.74,80.51,91.64,8.95,0.0,8.18,12.63,5.99,2.25,0.1,2.67,2.56,0.79
2016,Guamal,Meta,Meta (ETC),1932,134.8,134.47,96.41,138.42,108.69,58.96,151.71,161.68,175.64,144.87,96.09,6.33,9.84,4.89,8.13,4.21,86.61,91.14,78.52,88.79,7.06,0.0,3.97,13.35,7.01,1.06,0.0,0.61,2.32,0.0
2016,Mapiripán,Meta,Meta (ETC),3906,37.8,37.79,20.83,41.29,15.91,5.68,48.03,41.96,78.12,27.18,14.12,9.7,6.38,9.57,12.2,7.94,86.07,86.91,78.4,90.48,4.22,0.0,3.52,9.41,1.59,1.85,0.0,2.15,1.74,1.59
2016,La Macarena,Meta,Meta (ETC),8644,42.7,42.69,23.8,46.8,28.91,10.21,49.26,42.55,70.38,38.96,16.44,7.47,7.19,5.14,12.76,5.02,86.34,86.89,81.94,94.06,6.19,0.31,7.98,5.3,0.91,0.05,0.31,0.0,0.0,0.46
2016,Uribe,Meta,Meta (ETC),3917,47.0,47.03,27.14,48.18,34.24,12.23,51.39,44.57,66.25,46.3,24.96,6.04,4.49,4.05,11.3,1.47,84.95,85.28,78.78,96.32,9.01,0.0,10.67,9.91,2.21,0.05,0.0,0.09,0.0,0.0
2016,Puerto Concordia,Meta,Meta (ETC),5070,37.6,37.63,21.43,39.28,29.27,9.47,44.02,41.52,59.01,37.7,18.45,8.37,7.53,5.0,15.14,8.4,86.45,91.57,74.15,88.55,5.19,0.0,3.42,10.71,3.05,0.34,0.0,0.53,0.17,0.0
2016,Puerto Gaitán,Meta,Meta (ETC),5507,148.3,148.28,64.02,144.37,86.43,37.17,173.96,138.37,228.29,146.83,93.74,6.54,7.04,4.52,10.2,8.65,90.75,94.76,82.91,84.81,2.71,0.0,0.71,6.9,6.54,0.2,0.0,0.12,0.46,0.0
2016,Puerto López,Meta,Meta (ETC),8129,95.8,95.74,60.44,95.32,79.63,38.84,108.8,90.59,127.38,107.69,70.41,7.64,7.83,6.47,8.73,9.51,86.92,89.36,83.23,83.75,5.44,0.0,4.17,8.04,6.74,0.22,0.0,0.37,0.11,0.0
2016,Puerto Rico,Meta,Meta (ETC),4856,49.7,49.73,35.58,53.4,32.62,10.74,53.79,58.6,69.43,46.76,22.15,9.35,11.51,8.41,11.24,5.84,87.73,87.59,86.6,93.43,2.92,0.0,4.0,2.16,0.73,0.04,0.0,0.07,0.0,0.0
2016,Restrepo,Meta,Meta (ETC),2351,167.8,167.76,75.74,145.29,161.03,119.14,183.03,128.71,174.45,209.1,180.86,4.01,6.06,3.11,5.31,2.26,87.56,94.04,77.46,93.42,8.43,1.3,2.85,17.23,4.32,0.71,1.3,1.46,0.07,0.0
2016,San Juan de Arama,Meta,Meta (ETC),2364,73.9,73.86,27.78,64.14,66.41,35.67,84.39,50.93,89.93,94.21,65.55,8.6,8.18,8.97,8.94,5.88,80.42,82.07,74.78,87.17,10.98,0.91,8.97,16.28,6.95,1.35,0.0,1.03,2.05,1.07
2016,San Martín,Meta,Meta (ETC),5617,93.3,93.27,58.51,87.9,81.37,50.55,102.65,94.4,105.37,107.04,89.45,8.05,8.71,5.61,11.01,8.5,82.6,90.37,69.93,83.73,9.34,0.0,4.03,19.05,7.78,0.56,0.24,0.21,1.27,0.0
2016,Vistahermosa,Meta,Meta (ETC),6412,64.7,64.74,32.28,68.72,47.97,21.23,72.44,56.49,88.61,67.24,47.62,8.78,8.92,5.79,14.43,8.92,87.75,91.48,79.71,89.49,3.47,1.59,2.73,5.87,1.59,0.02,0.0,0.04,0.0,0.0
2016,Pasto,Nariño,Pasto,83107,81.3,81.29,50.12,78.52,74.22,43.13,92.51,75.25,91.6,103.73,80.76,1.84,0.81,0.86,3.08,1.89,91.35,95.18,85.81,91.47,6.8,0.11,3.96,11.1,6.63,3.32,0.45,2.19,5.42,2.25
2016,Albán,Nariño,Nariño (ETC),4673,30.1,30.11,12.12,26.27,29.36,19.98,33.6,27.55,31.38,38.56,31.8,1.48,0.0,0.34,2.94,1.19,98.26,99.15,97.06,98.42,0.26,0.0,0.51,0.0,0.4,1.67,0.0,3.23,0.98,0.4
2016,Aldana,Nariño,Nariño (ETC),1104,130.6,130.62,81.82,129.27,126.54,64.06,141.94,117.05,144.79,162.73,106.25,0.97,0.97,0.77,0.67,2.58,98.83,99.23,99.33,95.88,0.19,0.0,0.0,0.0,1.55,0.26,0.0,0.31,0.34,0.0
2016,Arboleda,Nariño,Nariño (ETC),1416,91.2,91.24,41.28,91.34,83.75,37.93,101.06,73.39,107.07,113.75,76.25,1.05,2.5,0.33,1.65,1.01,98.95,99.67,98.35,98.99,0.0,0.0,0.0,0.0,0.0,5.45,3.75,5.94,6.23,2.51
2016,Barbacoas,Nariño,Nariño (ETC),11782,88.9,88.92,38.68,83.29,44.21,9.74,111.77,79.98,149.2,101.08,50.11,5.88,1.46,3.18,10.37,15.47,94.12,96.82,89.63,84.53,0.0,0.0,0.0,0.0,0.0,1.81,1.7,2.54,0.73,0.0
2016,Belén,Nariño,Nariño (ETC),1306,75.3,75.27,69.52,70.13,68.56,45.92,83.54,103.81,79.96,87.47,75.11,2.02,1.83,0.95,3.13,2.29,97.62,98.35,96.61,97.71,0.37,0.0,0.71,0.26,0.0,6.05,2.75,1.89,12.24,4.57
2016,Contadero,Nariño,Nariño (ETC),1721,46.0,46.02,34.04,52.09,36.27,27.37,49.62,46.81,58.94,42.83,41.4,0.47,0.0,0.24,1.21,0.0,99.53,99.76,98.79,100.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,3.32,3.63,1.69
